trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,down,0.01,db,0.048749482,0.0006361,81.3633437,81.3633437,81.6627552,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,down,0.01,db,0.048693389,0.0006377,83.6987341,83.6987341,84.0121114,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,down,0.01,db,0.048637361,0.0006404,86.0282662,86.0282662,,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,down,0.01,db,0.048581398,0.000632,88.3106796,88.3106796,88.6104023,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,down,0.01,db,0.048525498,0.0006518,90.660133,90.660133,,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,down,0.01,db,0.048469663,0.0006327,92.9425732,92.9425732,93.2421314,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,down,0.01,db,0.048413893,0.0006263,95.2586696,95.2586696,95.5580933,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,down,0.01,db,0.048358186,0.0006196,97.574455,97.574455,97.8740714,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,down,0.01,db,0.048302544,0.0006575,99.8901199,99.8901199,100.189911,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,down,0.01,db,0.048246966,0.0006781,102.2062626,102.2062626,102.5056054,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,down,0.01,db,0.048191451,0.0005622,104.5227167,104.5227167,104.8216605,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,down,0.01,db,0.048136001,0.0006533,106.8545808,106.8545808,107.1543726,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,down,0.01,db,0.048080614,0.0006501,109.2037084,109.2037084,,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,down,0.01,db,0.048025291,0.0006277,111.4863543,111.4863543,111.7859976,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,down,0.01,db,0.047970032,0.0006232,113.8021403,113.8021403,114.1018239,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,down,0.01,db,0.047914836,0.0006194,116.1181155,116.1181155,116.4175802,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,down,0.01,db,0.047859704,0.0006214,118.4339285,118.4339285,118.7336791,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,down,0.01,db,0.047804635,0.000645,120.8164366,120.8164366,121.1160349,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,down,0.01,db,0.047749629,0.0006689,123.1488876,123.1488876,123.448522,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,down,0.01,db,0.047694687,0.0006169,125.4816063,125.4816063,125.7811719,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,down,0.01,db,0.047639808,0.0006562,127.797354,127.797354,128.0970287,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,down,0.01,db,0.047584992,0.0006721,130.1466264,130.1466264,130.4466517,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
